comment_id,period_id,entity_id,sector_code,measure_code,comment_text,author,language,created_at
1,202401,1,BBM,TNS,Net sales of EUR 1219m (+6.9% vs PY) supported by new product ramp-ups; CF for FY confirmed.,M. Keller,EN,2024-01-08 17:12:00
2,202401,6,BBM,TNS,"TNS at EUR 377m, up +7.5% vs PY, driven by strong order intake in Powertrain Solutions and positive price effects.",K. Nagy,EN,2024-01-07 17:52:00
3,202401,6,BBM,EBIT,"EBIT of EUR 20m (5.2% of TNS), +19.4% vs PY; favorable mix and fixed cost discipline.",K. Nagy,EN,2024-01-07 17:52:00
4,202401,7,BBM,TNS,"Sales exceed prior year by +6.6% (EUR 265m); volume recovery in key accounts, FX tailwind approx. 0.8pp.",P. Novak,EN,2024-01-08 13:00:00
5,202401,7,BBM,EBIT,"EBIT margin at 4.7%, improving vs PY on productivity gains and lower material cost.",P. Novak,EN,2024-01-08 13:00:00
6,202401,8,BBM,TNS,"TNS at EUR 286m, up +8.1% vs PY, driven by strong order intake in Powertrain Solutions and positive price effects.",L. Moreau,EN,2024-01-07 13:21:00
7,202401,8,BBM,EBIT,"EBIT margin at 4.6%, improving vs PY on productivity gains and lower material cost.",L. Moreau,EN,2024-01-07 13:21:00
8,202401,9,BBM,TNS,"TNS at EUR 752m, up +7.1% vs PY, driven by strong order intake in Powertrain Solutions and positive price effects.",R. Thompson,EN,2024-01-07 09:22:00
9,202401,9,BBM,EBIT,"EBIT margin at 4.6%, improving vs PY on productivity gains and lower material cost.",R. Thompson,EN,2024-01-07 09:22:00
10,202401,10,BBM,TNS,Net sales of EUR 273m (+5.9% vs PY) supported by new product ramp-ups; CF for FY confirmed.,D. Ramirez,EN,2024-01-06 10:29:00
11,202401,10,BBM,EBIT,"EBIT margin at 4.9%, improving vs PY on productivity gains and lower material cost.",D. Ramirez,EN,2024-01-06 10:29:00
12,202401,11,BBM,TNS,Net sales of EUR 190m (+5.2% vs PY) supported by new product ramp-ups; CF for FY confirmed.,F. Oliveira,EN,2024-01-04 09:30:00
13,202401,12,BBM,TNS,Net sales of EUR 934m (+5.4% vs PY) supported by new product ramp-ups; CF for FY confirmed.,W. Chen,EN,2024-01-04 15:56:00
14,202401,12,BBM,EBIT,"EBIT of EUR 45m (4.8% of TNS), +4.0% vs PY; favorable mix and fixed cost discipline.",W. Chen,EN,2024-01-04 15:56:00
15,202401,13,BBM,TNS,"TNS at EUR 244m, up +7.2% vs PY, driven by strong order intake in Powertrain Solutions and positive price effects.",A. Sharma,EN,2024-01-09 16:53:00
16,202401,14,BBM,TNS,"Sales exceed prior year by +6.8% (EUR 438m); volume recovery in key accounts, FX tailwind approx. 0.8pp.",T. Sato,EN,2024-01-05 12:55:00
17,202401,14,BBM,EBIT,"EBIT margin at 4.7%, improving vs PY on productivity gains and lower material cost.",T. Sato,EN,2024-01-05 12:55:00
18,202401,15,BBM,TNS,Net sales of EUR 160m (+5.8% vs PY) supported by new product ramp-ups; CF for FY confirmed.,G. Lim,EN,2024-01-03 12:37:00
19,202401,15,BBM,EBIT,"EBIT of EUR 8m (4.8% of TNS), +10.5% vs PY; favorable mix and fixed cost discipline.",G. Lim,EN,2024-01-03 12:37:00
20,202401,2,BBI,TNS,"Sales decline of -5.7% vs PY (EUR 321m); FX headwind approx. 1.5pp, underlying volume stable.",S. Brandt,EN,2024-01-08 08:04:00
21,202401,2,BBI,EBIT,"EBIT at EUR 27m (8.5% of TNS), below PY; under-absorption from lower volumes, ramp-up costs in Drive and Control Technology.",S. Brandt,EN,2024-01-08 08:04:00
22,202401,9,BBI,TNS,"Sales decline of -4.1% vs PY (EUR 100m); FX headwind approx. 1.5pp, underlying volume stable.",R. Thompson,EN,2024-01-04 16:16:00
23,202401,9,BBI,EBIT,"EBIT margin 8.5%, pressured by wage inflation and negative mix; recovery plan agreed with GM.",R. Thompson,EN,2024-01-04 16:16:00
24,202401,12,BBI,TNS,"TNS at EUR 131m, -3.3% below PY due to softer market demand and customer destocking; countermeasures initiated.",W. Chen,EN,2024-01-09 08:05:00
25,202401,12,BBI,EBIT,"EBIT of EUR 11m (8.6% of TNS), +4.3% vs PY; favorable mix and fixed cost discipline.",W. Chen,EN,2024-01-09 08:05:00
26,202401,15,BBI,TNS,Net sales EUR 51m (-2.6% vs PY); weakness concentrated in Drive and Control Technology; pricing actions under review for H2.,G. Lim,EN,2024-01-03 17:43:00
27,202401,15,BBI,EBIT,"EBIT margin 8.8%, pressured by wage inflation and negative mix; recovery plan agreed with GM.",G. Lim,EN,2024-01-03 17:43:00
28,202401,3,BBG,TNS,"TNS at EUR 690m, -4.3% below PY due to softer market demand and customer destocking; countermeasures initiated.",A. Vogel,EN,2024-01-07 09:13:00
29,202401,3,BBG,EBIT,"EBIT at EUR 34m (4.9% of TNS), below PY; under-absorption from lower volumes, ramp-up costs in BSH Home Appliances.",A. Vogel,EN,2024-01-07 09:13:00
30,202401,4,BBG,TNS,"TNS at EUR 386m, -4.5% below PY due to softer market demand and customer destocking; countermeasures initiated.",C. Winter,EN,2024-01-05 17:15:00
31,202401,4,BBG,EBIT,"EBIT of EUR 19m (4.9% of TNS), +8.4% vs PY; favorable mix and fixed cost discipline.",C. Winter,EN,2024-01-05 17:15:00
